instruction,output
"동일가치노동, 동일임금 판단기준","동일가치노동 이란 노동수행에서 요구되는 ①기술, ②노력, ③책임, ④작업조
건, ⑤기타의 기준으로 볼 때 서로 비교되는 남녀간의 노동이 동일하거나, 거의 같
은 성질인 노동 또는 두 업무가 다소 다르더라도 직무평가 등의 방법에 의해 본질
적으로 동등한 가치가 인정되는 노동을 말하며, 동일가치노동 동일임금원칙의 서
로 비교되는 남녀간의 노동이 동일가치인가를 판단할때에는 위 4가지 기준외에 해
당 근로자의 학력, 경력, 근속년수 등을 종합적으로 고려하여야 하며 서로 비교되
는 남녀의 노동이 모두 하나의 사업장에서 이루어지는 경우에 한합니다.

다만, 비교되는 남녀근로자의 노동이 외형상 비슷하더라도 당해 근로자 사이에
학력,경력, 근속년수, 직급 등에 차이가 있고, 그것이 객관적 합리적인 기준으로
정립되어 있는 경우는 임금의 차별로 볼 수 없습니다.

- 기술 : 자격증, 학위, 습득된 경험 등 업무수행 능력또는 솜씨의 객관적 수준
- 노력 : 업무수행에 필요한 육체적, 정신적 힘의 작용
- 책임 : 업무에 내재된 임무의 성격, 범위, 사업주가 당해 직무에 의존하는 정도
- 작업조건 : 소음, 열, 물리적.화학적 위험의 정도 등 당해 업무에 종사하는 근로
자가 통상적으로 처하는 작업환경"
계약직 근로자의 산전후 휴가 가능한가,"근로기준법 제74조의 규정은 근로계약의 형태와 관계없이 근로기준법의 적용을 받
는 모든 근로자에게 적용되므로 계약직, 임시직, 시간제 여성근로자들에게도 산전후휴
가를 부여하여야 합니다.

다만, 단기 계약직 근로자로서 출산전후휴가 실시 중 계약기간이 만료되는 경우에는 출산전후휴가도 종료됩니다.(단, 기간제,파견근로자 출산전후휴가급여 등에 상당하는 금액 제도를 통해 잔여휴가에 대한 급여지원을 받을 수 있음)"
경영상 해고로 인한 퇴직 시 실업급여 지급여부,"상용근로자의 경우 실업급여를 받기 위해서는 퇴직 시 사업주에게 이직확인서를 요청하거나, 고용센터에서 사업주에게 이직확인서를 요구하여야 합니다.
사업주는 사업장 소재지 관할 고용복지플러스센터에 이직확인서를 제출하고, 퇴직자는 고용복지플러스센터에 방문하여 실업급여 수급자격 신청을 하여야 합니다.

실업을 신고한 날로부터 1주~4주 범위내에서 지정된 실업인정일에 출석하여 적극적인 재취업활동(면접, 이력서 제출 등의 구체적인 행위)으로 거주지 관할 고용센터에서 실업을 인정받으면 실업급여가 지급됩니다."
30일 미만 육아휴직 사용 시 육아휴직급여를 지급하는가,"고용보험법 제70조 규정에 의하여 육아휴직급여는 남녀고용평등과 일．가정양 립 지원에 관한 법률 제19조의 규정에 의한 육아휴직을 30일(근로기준법 제74조 의 규정에 의한 산전후휴가기간 90일과 중복되는 기간을 제외)이상 부여받은 피보 험자중에서 일정요건을 갖춘 자에게 지급하도록 규정하고 있으므로 30일 미만의 육 아휴직을 실시한 경우에는 육아휴직급여가 지급되지 아니합니다.

다만, 육아휴직급여 신청일 기준, 최근 12개월 이내에 사용한 육아휴직이 있다면 해당 기간을 합산하여 30일 이상인 경우에는 육아휴직급여를 지급받을 수 있습니다.

- 일정한 요건 :
1. 육아휴직개시일 이전에 고용보험피보험단위기간이 통산하여 180일 이상일 것.
2. 동일한 자녀에 대해서 피보험자인 배우자가 육아휴직을 부여받지 않고 있을 것.
3. 육아휴직개시일 이후 1월부터 종료일 이후 12월 이내에 신청 할 것"
생리휴가를 적치하여 사용할 수 있는가,"생리휴가는 여성근로자에 대해, 생리사실이 있는 날중 월 1일의 근로의무를 면제시켜주는 것으로써, 휴가의 성격상 여러달의 생리휴가를 적치하였다가 사용할 수 없음"
임산부의 5개월 근무 서약서 효력이 있는가,"남녀고용평등과 일, 가정양립 지원에 관한 법률 제11조의 규정에 의하여 사업주는
근로자의 정년·퇴직 및 해고에 있어서 남녀를 차별하여서는 아니되고, 근로여성의 혼
인, 임신 또는 출산을 퇴직사유로 예정하는 근로계약을 체결하여서는 아니 된다고 규
정하고 있으므로 임신 5개월까지만 근무한다는 서약서는 법 위반으로 무효가 되므로
효력이 없습니다.

따라서 회사측에서 계약직 전환을 모색함에 있어 합리적이고 공정한 기준을 마련하지
않고, 위 서약서 또는 단지 여성이라는 이유만으로 일반직을 퇴직하고 계약직으로 근
무하도록 하는 것은 법 위반이라고 할 수 있습니다."
산전후 휴가기간 중 급여,"근로기준법 제74조의 규정에 의하여 사업주는 임신중의 여성에 대하여 출산전후
를 통하여 90일간의 보호휴가를 주되, 이경우 반드시 산후에 45일 이상이 확보되도
록 하여야 하며 출산전후휴가중 최초60일분에 대하여는 사업주가 당해근로자의 통상
임금 전액을 지급하여야 합니다

- 이 규정은 사업주 또는 근로자의 동의하에 선택할 수 있는 사항이 아닌 강행규정
이므로 사업주는 반드시 이를 이행하여야 하고, 만약 위반하였을 경우에는 근로기
준법에 의하여 형사처벌을 받을 수 있습니다.
■ 통상임금이라 함은, 근로기준법시행령 제6조에 의해 정기적 일률적으로 소정근
로 또는 총근로에 대하여 지급하기로 정하여진 시간급금액, 일급금액, 월급금액 또
는 도급금액을 의미함
■ 출산전후 휴가기간 중 최초 60일분에 대하여는 사업주가 지급하고, 60일을 초과하는 30일분에 대하여는 고용보험에서 지급함. (단, 우선지원대상기업의 경우 출산전후휴가기간 90일분을 고용보험에서 지급. 다만, 이 경우에도 최초 60일의 통상임금과 고용보험 급여와의 차액분은 사업주가 지급해야 함 )"
임신중의 여성근로자 근로전환 배치 요구 시 그 시점은,"사용자가 근로기준법 제74조제3항에 의해 임신중인 여성근로자로 부터 요구 있는
경우 쉬운 종류의 근로로 전환하도록 규정되어 있으나, 몇일 이내에 전환시켜야 한다
는 규정은 별도로 없음

동 조항이 임산부 및 태아의 건강보호를 목적으로 하는 것임을 감안할 때 사용자는
근로자의 배치전환 청구가 있을 경우, 가능한 빠른 시간내에 쉬운 종류의 근로로 전환
시켜야 합니다."
모집과 채용에 있어 어떠한 경우가 남녀차별에 해당하는가,"모집과 채용에 있어서 남녀차별 해당 여부는 구체적인 사례에 따라 판단하여야 하
나 대체적으로 다음과 같은 경우는 차별에 해당한다고 판단됨

① 특정성(여성 또는 남성)에게는 전적으로 모집·채용의 기회를 주지 아니하는 경
우
② 직종별로 남녀를 분리 모집하거나 성별로 채용 예정인원을 배정함으로써 특정직
종에 특정성의 채용기회를 제한하는 경우
③ 특정성에 대하여만 배우자나 보호자의 취업동의서 또는 보증 등을 요구하는 경
우
④ 모집·채용에 있어 남성 또는 여성만을 가리키는 직종의 명칭을 사용하는 경우
(단, 여자 또는 남자를 배제하는 것이 아님이 분명한 경우는 제외)
⑤ 학력·경력 등 자격이 같음에도 불구하고 특정성을 다른성보다 낮은 계급 또는
직위에 모집·채용하는 경우
⑥ 남녀가 동일자격임에도 특정성을 불리한 고용형태로 채용하는 경우(예, 여성만
을 비정규직으로 채용)
⑦ 특정성의 채용기회를 제한할 목적으로 직무 수행상 반드시 필요하지 아니한 채
용조건을 부과한 경우
⑧ 면접·구술시험의 경우 객관적인 기준에 의하지 아니하고 특정성을 불리하게 대
우함으로써 특정성의 채용기회를 제한하는 경우
⑨ 기타 근로자의 모집 및 채용에 있어서 남녀에게 평등한 기회를 주지 아니한 것
으로 인정되는 경우"
조기 재취직 시 재취업 수당 지급 대상과 그 방법,"1. 조기재취업수당은 실업급여 수급자격을 인정받은 자가 고용보험법 제64조 및 같은법 시행령 제84조에 따라 실업의 신고일로부터 14일이 지난 후 소정급여일수를 1/2 이상 남기고 재취업한 경우로서 가. 12개월 이상 계속하여 고용된 경우이거나 이직일 당시 65세 이상인 사람으로서 6개월 이상 계속하여 고용될 것으로 직엄안정기관의 장이 인정하는 경우 나. 12개월 이상 계속하여 스스로 영리를 목적으로 사업을 영위한 경우이거나 이직일 당시 65세 이상인 사람으로서 6개월 이상 계속하여 사업을 영위할 것으로 직업안정기관의 장이 인정하는 경우
2. 조기재취업 수당청구서에 사업주확인서(직인필수)와 재직증명서(또는 근로계약서) 등을 첨부하여 최종수급지 관할 직업안정기관의 장에게 제출하면, 해당여부를 확인하여 구직급여일액에 미지급일수의 2분의 1을 곱한 금액을 지원합니다 ※ 첨부서류 - 사업에 고용된 경우: 근로계약서(재직증명서) - 자영업을 하는 경우: 사무실 임대계약서나 과세 증명자료(매출 전표등)
* 자세한 내용은 해당 관할 센터에 상담 필수"
출산전후 휴가 및 육아휴직 사용기간,"출산전후휴가 90일(다태아 120일)와 육아휴직 1년은 각각 별개로 사용할 수 있으며, 육아휴직은 출산후 휴가 45일(다태아 60일)이후부터 육아휴직대상 자녀범위가 만 8세 이하(만 9세가 되기 전) 또는 초등학교 2학년 이하(3학년 되기 전) 자녀는 1년 범위내에서 사용할 수 있습니다.(법령개정 2014.1.14.)"
실업급여 부정수급요건 및 제재내용,"고용보험법 제61조, 같은 법 시행령 제81조, 동업 시행규칙 제105조에 의거 거짓이나 그 밖의 부정한 방법으로 실업급여를 받았거나 받으려고 한 경우, 실업급여를 지급하지 아니합니다.

실업급여는 수급자격자가 실업한 상태에서 적극적으로 구직활동을 하는 경우에 지급합니다. 그러나 취업사실이나 근로소득을 허위신고 하거나 이직사유 및 임금 등을 허위 기재하는 등의 부정한 방법으로 실업급여를 받았거나 받으려고 하는 경우에는 부정수급이 됩니다.

부정수급을 한 경우에는 실업급여와 취업촉진수당을 지급하지 아니하고, 부정행위와 관련하여 받은 급여액(부정수급액)을 반환하여야 하며, 부정수급액에 해당되는 금액을 추가로 납부하여야 합니다.

거짓이나 그 밖에 부정한 방법이 사업주의 허위신고, 보고 또는 증명으로 인한 것인 때에는 그 사업주도 해당 실업급여를 받은 자와 연대하여 책임을 지게 됩니다.

* 부정수급과 관련하여 부정행위에 대한 조사를 착수하기 전에 자진신고를 하는 경우에는 추가징수를 면제 받을 수 있습니다."
질병으로 인하여 이직한 경우 실업급여 해당이 되는가,"질병으로 이직한 경우에는 질병으로 인해 부여된 업무를 수행하는 것이 불가능하거 나 곤란하게 되어 병가신청 등 이직회피 노력을 하였음에도 불구하고, 부득이하게 이직하였음이 객관적으로 인정(의사의 소견서 및 사업주 의견 등)되는 경우는 실업급여를 지급 받을 수 있습 니다.

다만 질병으로 인한 퇴사의 경우 바로 취업할 수 있는 상태가 없는 상태로 판단되는 경우수급기간 연기신청을 하여야 합니다"
실업급여 수급자가 자비로 학원 수강 시 구직활동으로 인정되는가,"실업급여 수급자의 구직희망 직종과 관련이 있으며 출결관리 및 교육시간 확인이 가능한 훈련과정이라고 직업안정기관의 장이 인정하는 경우 해당 실업인정기간(통상28일) 중 교육시간이 월 30시간 미만이면 구직활동 1회, 월 30시간 이상이면 구직활동 2회로 인정됩니다.
- 대학교 평생교육원에서 학위취득과정을 이수하는 경우는 불인정하고, 재취업에 필요한 자격증 취득과정을 수강할 경우에는 증빙서류(수강증명서, 출석부사본등) 확인을 통해 인정합니다."
임신이나 출산으로 이직 시 실업급여 지급해야하는가,"임신·출산으로 이직한 경우에는 휴직한 후 다시 복직하는 것이 일반적임으로 이는 자발적 이직으로 보아 실업급여 지급
대상에 해당되지 않으나, 휴직을 신청하였음에도 휴직대상에 해당되지 않거나 사업장에서 이를 허용하지 않는 등 불가피한
사정에
의해 어쩔 수 없이 이직하였음이 객관적으로 인정되면 실업급여를 지급 받을 수 있습니다. 다만 임신·출산으로 인해 휴직이 필요하여 바로 취업할 수 없는 상태로 판단 되는 경우 수급기간 연기신청을 하여야 합니다."
일용직 근로자도 고용보험을 적용해야하는가,"일용근로자란 1개월 미만 고용되는 사람을 말하며, 당연히 고용보험 적용 대상입니다. 따라서, 임금 계산이나 지급이 일 단위로 이루어진다 하더라도 근로계약기간이 1개월 이상인 경우에는 일용근로자가 아니라 상용근로자입니다.
일용근로자는 일한 일수에 대하여 사업주가 근로복지공단에 일용근로 확인 신고서를 제출하면 고용보험 취득 상실 신고를 한 것으로 갈음하고 있으며, 사업주가 신고하지 않을 경우 근로자가 근로복지공단에 피보험자격 확인청구를 할 수 있습니다."
종전 사업장의 근무기간을 고용보험 피보험기간에 합산하는가,고용보험법 제50조제4항에 따라 이전 사업장에서 피보험자격을 취득하였던 자가 그 사업장에서 이직한후 실업급여를 수급하지 아니하고 3년이내에 다른 사업장에서 피 보험자격을 다시 취득한 경우에는 이전 사업장에서의 고용보험피보험기간이 합산됨
교육비 환급 신청방법,"사업주가 고용노동부로부터 훈련비를 지원받지 위해서는 해당 훈련과정이 고용노동부장관으로부터 인정을 받아야 합니다. 사업주가 직접 실시할 경우에는 사업주가 인정을 받아야 하며, 전문훈련기관에 위탁하여 실시할 경우에는 훈련기관에서 인정을 받아야 합니다. 훈련과정을 모두 수료한 이후 훈련비 부담에 관한 증빙서류와 함께 지원금 신청서를 관할 산업인력공단에 제출하시면 됩니다. 신청서 및 교육과정에 대한 안내는 인터넷 www.hrd.go.kr로 확인하시면 됩니다."
사업주 직업능력 개발훈련 시 지원,"사업주가 소속근로자, 채용예정자, 구직자 등의 직무능력향상을 위하여 직업훈련을 실시한 경우, 이에 소용되는 비용의 일부를 지원하고 있습니다.
지원절차는 아래와 같습니다.

훈련과정인정신청→훈련실시신고 및 훈련실시→훈련수료보고(훈련종료일부터 14일 이내)→비용신청(훈련수료 후 30일 이내)

제출서류는 비용지원신청서, 수료자명부, 비용증빙서류 등입니다.
기타 자세한 사항은 사업장관할 한국산업인력공단 지역본부·지사에 문의하시기 바랍니다."
비정규직 근로자도 고용보험 가입 대상인가,"근로자는 고용보험법 제10조 및 같은 법 시행령 제3조에 규정한 적용제외 근로자가 아닌 경우에는 그 고용형태와 관련없이 고용보험 적용 대상입니다. 따라서, 임시직, 계약직, 일용직, 시간제, 파견근로자, 촉탁직, 인턴 사원 등 명칭 여하를 불문하고 고용보험 가입 대상이 될 수 있습니다."
지정된 실업 인정일에 꼭 출석해야하는가,"실업급여는 원칙적으로 1주~4주의 범위내에서 정해진 실업인정일에 고용센터
에 출석하여 실업상태에서 적극적인 재취업활동을 한 사실을 신고하여「실업인정」을
받은 경우에만 지급됩니다.

그러나 취업 또는 구인자와의 면접이나 부득이 한 사유로 출석할 수 없을 때에는
실업인정일의 전일까지 변경을 신청하거나 그 해당 사유가 없어진 날부터 14일 이내
에 출석하여 「실업인정일 」을 변경하여 실업인정을 받을 수 있습니다. 기타 자세한
문의는 관할 고용센터로 문의하시기 바랍니다."
고용유지조치 시행 전 해고 예고한 경우 지원금 신청이 가능한가,"고용보험법 시행령 제19조제1항에 따라 고용유지조치기간 및 이후 1개월동안 고용조정으로 피보험자를 이직시키지 않은 경우에 지원금 지급이 가능함. 고용유지조치 시행 전에 해고예고한 경우 퇴직일이 사전에 확정된 것이므로 비록 해고일이 고용유지조치기간에 포함된다 하더라도 고용유지조치기간에 이직한 경우라고 보기는 어려움. 다만, 해고예고된 자는 고용보험법 시행령 제19조제1항에 따라 지원 대상 근로자에서 제외되므로 해고예고된 자는 제외하고 지원금 신청이 가능함"
훈련교사 자격기준 및 자격증취득 신청절차,"직업능력개발훈련교사 자격기준은 국민평생직업능력개발법 시행령 제28조제2항 및 별표2와 같은 법 시행규칙 제15조 및 고용노동부 고시 제2023-13호를 참고하시기 바랍니다.
※ 고용노동부 홈페이지(www.moel.go.kr/정보공개/법령정보/훈령·예규·고시)에 들어가서 직업능력개발훈련교사 자격기준 검색

직업능력개발훈련교사 자격증을 발급받고자 하는 사람은 직업능력개발훈련교사 자격증 발급신청서에 ①주민등록초본(주민등록증, 자동차운전면허증, 여권, 국민건강보험증 등) ②최종학교 졸업증명서(해당자에 한함) ③경력증명서(해당자에 한함) ④자격증 사본(해당자에 한함) ⑤각 훈련과정의 이수증 사본(해당자에 한함) ⑥최근 6월이내 쵤영한 증명판 사진(2.5cm×3cm) ⑦수입인지 등을 첨부하여 가까운 고용센터에 방문 제출하시거나, 인터넷 신청(www.hrd.go.kr)가능하며 이 경우 수수료는 없습니다.
※ 국민평생직업능력개발법 시행규칙 제16조 참조"
신용불량자 실업급여 수급방법,"실업급여는 수급자격자의 본인계좌로 지급받아야 하므로 계좌가 압류된 경우는 지급이 되더라도 출금이 되지 않음.

이에 신용불량 등으로 계좌가 압류된 경우라도 우리은행 또는 농협은행(단위농협 포함)에서 ‘실업급여 지킴이 통장’을발급받은 경우 실업급여 지급액이 압류되지 않고 안심하고 찾으실 수 있음."
산재보험료 소급여부,"산재보험은 업무상 재해를 당한 근로자를 효과적으로 보호하고 사업주간 공동
위험부담의 원리하에 과중한 보상비용을 분산시켜 원활한 사업운영이 가능하도록
돕는데 취지를 둔 사회보험입니다.

산재보험 가입여부를 사업주의 자의에 맡길 경우 많은 사업주가 산재보험 가입
을 회피하여 산재보험이 소기의 목적을 달성하기 어렵게 되므로 산재보험법에서는
일정한 요건에 해당하는 경우 사업주의 의사에 불구하고 그 시점부터 당연히 산재
보험관계가 성립합니다.

「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률」제41조 제1항에
서는 보 험료를 징수할 권리는 3년간 행사하지 아니하면 시효로 인하여 소멸하는
것으로 규정하고 있으며, 같은법 제43조에서는 확정보험료의 소멸시효는 다음 보험
연도의 첫날부터 진행하는 것으로 규정하고 있습니다.

위의 소멸시효제도는 근로복지공단에서 보험료징수법에 따른 보험료 기타 징수
금을 징수할 수 있는 기간을 정한 것으로서, 만일 보험료 납부의무가 발생한 연도
의 다음 보험연도의 첫 날부터 3년이 경과한 상태일 경우에는 소멸시효의 완성으
로 보험료를 징수할 수 없음을 알려드립니다."
고용유지 지원금 중 휴직지원의 기산점은?,"고용유지조치중 휴직의 경우에는 1개월이상 휴직을 부여하도록 되어 있는 바, 고용유
지지원금은 신고된 계획에 따라 실시한 고용유지조치에 대해서만 지원하므로 1개월 산
정의 기준시점은 고용유지조치계획서 제출일 이후 실제 부여한 휴직일부터 기산함."
직업능력개발 훈련시설 지정을 받고자 하는데 방법은?,"직업능력개발훈련시설의 지정을 받고자 하는 경우에는 국민평생 직업능력 개발법
제28조 및 동법 시행령 제24조에서 규정하고 있는 인력,시설, 장비 등 요건을 갖추
었음을 증명하는 서류를 첨부하여 당해 훈련시설의 소재지를 관할하는 지방고용노동관
서(고용센터)의 장에게 제출하여야 합니다.(구비서류는 지방고용노동관서 담당자
의 안내를 받으시기 바랍니다)

지정직업훈련시설은 훈련기관으로서 훈련환경 및 보건위생상 적합한 장소에 설립
되어야 하고 시설의 연면적이 180제곱미터 이상, 주된 강의실 또는 실습실이 60제
곱미터 이상이어야 하며 시설을 임차시에는 임차기간이 1년 이상이어야 합니다."
고용 유지 조치 시 반드시 피보험자를 대상으로 하는가,"고용보험 가입사업장은 고용안정사업의 각종 지원금, 장려금을 지급받을 수 있으며 고
용보험법시행령 제21조 규정에 의하여 당해 사업장에서 고용하는 피보험자에 대하여
고용유지 조치를 취하는 경우 지원토록 하였으므로 피보험자가 아닌자에 대한 고용유
지조치는 지원금 지급대상이 아닙니다."
대표이사의 고용보험 적용 여부,"고용보험 피보험자가 될 수 있는 자는 근로기준법상 근로자이어야 합니다. 따라서 당해사업에 고용된 근로자에 한하여 고용보험 피보험자 자격 취득이 가능한 바, 법인의 대표이사는 근로기준법상 근로자에 해당하지 아니하므로 고용보험 취득대상이 아니며, 실업급여 지급 대상자가 될 수 없습니다."
고용유지조치 계획 시 노동조합과의 협의에 대한 해석,"휴업, 근로시간단축, 휴직 등 고용유지 조치는 근로조건의 변화를 가져다 주는 것이므로 반드시 근로자 대표와 협의하도록 하고 있음

근로자 대표의 협의시에는 반드시 합의에 이를 필요는 없으나, 정상적인 협의 절차(취업규칙 작성시 노동조합 또는 근로자의 의견을 청취하는 방법에 준함)가 아닌 일방적인 계획통보 및 사전통보의 경우에는 협의를 하였다고 인정할 수 없음"
종교인도 고용보험에 가입하여야 하는가,"고용보험은 당연적용 사업장에 종사하는 모든 근로자에 대하여 적용하고 있으며 여기서 근로자란 근로기준법상의 근로자를 의미합니다.  근로기준법상의 근로자란 ""직업의 종류에 관계없이 사업 또는 사업장에서 임금을 목적으로 근로를 제공하는 자""로서 목사, 신부, 수녀 등과 같이 순수종교인이 종교활동을 목적으로 종사하는 경우에는 근로기준법상 근로자라고 보기 어려우므로 고용보험법 적용이 되지 않습니다."
국가기간 전략사업의 훈련직종,"국가기간·전략산업직종훈련은 국가경제의 기간이 되는 산업, 정보통신산업, 자동차산업 등 국가전략산업 및 그밖에 산업현장의 인력수요 증대에 따라 인력양성이 필요한 직종에 대해 실시하는 훈련을 말합니다.

-훈련직종은 '24년의 경우, 기계분야(18), 건설(11), 전기·전자(12), 정보통신(13), 재료(3), 화학？바이오(2), 문화·예술·디자인·방송(5), 환경·에너지·안전(9), 이용·숙박·여행·오락？스포츠(1), 인쇄·목재·가구·공예(4), 경영·회계·사무(3), 농림·수산(2), 섬유·의복(2), 교육·자연·사회과학(1) 분야로 총 86개 직종이 있습니다.

*구체적 훈련직종에 대해서는 정보공개-법령정보-훈령·예규·고시-국민내일배움카드 운영규정(고용노동부고시 제2023-52호)-국가기간·전략산업직종(별표1)에서 확인하실 수 있습니다."
퇴직금 및 평균임금 산정 공식,"1. 근로자퇴직급여보장법 제8조제1항의 규정에 의거 사용자는 계속근로기간 1년에 대하여 30일분 이상의 평균임금을 퇴직금으로 퇴직하는 근로자에게 지급할 수 있는 제도를 설정하여야 하며, 이때 계속근로년수라 함은 근로계약을 체결하여 고용된 날부터 퇴직할 때까지의 전체 기간을 말합니다.
2. 퇴직금 산정의 기준이 되는 평균임금은 근로기준법 제2조의 규정에 따라 이를 산정하여야 할 사유가 발생한 날 이전 3개월 동안에 그 근로자에 대하여 지급된 임금총액을 그 기간의 총일수로 나눈 금액을 말하며, 이러한 방법으로 산출된 평균임금액이 그 근로자의 통상임금보다 적으면 그 통상임금액을 평균임금으로 하여야 합니다.
※ 평균임금
= [산정사유발생일 이전 3개월간의 임금총액] / [위 3개월간의 역일수(총 날짜수)]
※ 퇴직금 = 평균임금 × 30일분 × 계속근로일수 / 365]"
법정 근로시간,"상시근로자 5인 이상인 사업장의 경우, 근로기준법 제50조에서 1주간의 근로시간은 휴게시간을 제외하고 40시간을 초과할 수 없고, 1일의 근로시간은 휴게시간을 제외하고 8시간을 초과할 수 없다고 규정하고 있습니다.
그리고, 동법 제53조에서, 당사자간에 합의하면 1주간에 12시간을 한도로 근로시간을 연장할 수 있습니다.

동법 제54조에서, 사용자는 근로시간이 4시간인 경우에는 30분 이상, 8시간인 경우에는 1시간 이상의 휴게시간을 근로시간 도중에 주어야 한다고 규정하고 있으며, 휴게시간은 근로자가 자유롭게 이용할 수 있습니다."
부당해고 구제절차,"근로기준법 제23조제1항에서 사용자는 근로자에게 정당한 이유없이 해고, 휴직, 정직, 전직, 감봉, 그 밖의 징벌을 하지 못한다고 규정하고 있습니다.

그리고, 동법 제28조에서 사용자가 근로자에게 부당해고등을 하면 근로자는 부당해고등이 있었던 날부터 3개월 이내에 노동위원회에 부당해고등의구제신청을 할 수 있습니다.

단, 상기 규정은 상시근로자 5인 이상인 사업장에 적용되며, 노동위원회에 대한 부당해고등 구제신청과 별도로 민사소송인 해"
연차유급휴가 부여방법,"근로기준법 제60조에 따른 연차유급휴가는 일 단위로 부여하는 것이 원칙이라 할 것이나, 노사 당사자간의 합의로 정한 바에 따라 시간 단위 또는 반일 단위로 부여하더라도 근로기준법에 위반된다고 보기는 어려울 것으로 사료됩니다."
해고예고수당 적용여부,"근로기준법 제26조에서 사용자는 근로자를 해고(경영상 해고를 포함)하려면 적어도 30일 전에 예고를 하여야 하고, 30일 전에 예고를 하지 아니하였을 때에는 30일분 이상의 통상임금을 지급하여야 합니다.

다만, 근로자가 계속 근로한 기간이 3개월 미만인 경우, 천재·사변, 그 밖의 부득이한 사유로 사업을 계속하는 것이 불가능한 경우, 근로자가 고의로 사업에 막대한 지장을 초래하거나 재산상 손해를 끼친 경우로서 고용노동부령으로 정하는 사유에 해당하는 경우에는 그러하지 않습니다.

따라서, 사용자가 30일 전에 예고 없이 해고한 경우에는 해고예고수당을 지급하여야 하며, 미지급 시에는 사업장 소재지 관할 지방고용노동관서에 진정 등 신고를 통해 권리구제를 받으시기 바랍니다."
진정·고소 제기 이후에도 체불임금을 지급받지 못한 경우 권리구제 절차,"우선, 퇴직 근로자는 퇴직일까지 6개월 이상 가동한 사업장에서 임금 등을 지급받지 못하고 ①퇴직 다음날부터 2년 이내 소송을 제기하여 확정판결을 받거나, ②퇴직 다음날부터 1년 이내 진정 등을 제기하여 지방노동관서로부터 체불확인서를 발급받아 확정판결일로부터 1년 이내에(체불확인서의 경우 최초 발급일로부터 6개월 이내) 판결문(또는 체불확인서) 등을 첨부하여 근로복지공단에 간이대지급금 지급을 청구하면 최종 3개월분 임금(또는 휴업수당, 출산전후휴가기간 중 급여) 및 최종 3년간의 퇴직급여 중 체불액을 최대 1,000만원까지 지급받을 수 있습니다.

재직 근로자(소송, 진정 등 제기 당시 근로계약을 유지(일용근로자 제외), 3개월간 통상시급이 최저임금 110% 미만)의 경우에는 소송 또는 진정 등 제기일 이전 마지막 체불 발생일까지 6개월 이상 가동한 사업장에서 임금 등을 지급받지 못하고 ①마지막 체불일의 다음 날부터 2년 이내 소송을 제기하여 확정판결을 받거나, ②마지막 체불일의 다음 날부터 1년 이내 진정 등을 제기하여 체불확인서를 발급받아 확정판결일로부터 1년 이내(체불확인서의 경우 최초 발급일부터 6개월 이내) 판결문(또는 체불확인서) 등을 첨부하여 근로복지공단에 간이대지급금 지급을 청구하면 최종 3개월분 임금(또는 휴업수당, 출산전후휴가기간 중 급여) 중 체불액을 최대 700만원까지 지급받을 수 있습니다."
재직 근로자의 임금체불 구제절차,"근로기준법 제43조에 따라, 임금은 매월 1회 이상 일정한 날짜를 정하여 통화로 직접 근로자에게 그 전액을 지급하여야 합니다. 사용자가 재직 근로자에게 임금을 지급치 아니한 경우에는 사업장 관할 지방고용노동관서에 진정 등 신고를 통하여 권리구제를 받으시기 바랍니다.

또한, 임금을 지급받지 못한 근로자가 사업주를 상대로 민사소송 절차를 통해 임금채권을 확보할 수 있도록 대한법률구조공단에서는 무료법률구조지원사업을 실시하고 있으며, 이 경우 임금체불 신고사건을 담당한 근로감독관으로부터 체불임금등사업주확인서를 발급받아 대한법률구조공단(지사)을 방문하시면 동 공단 변호사로부터 무료로 민사소송을 지원받을 수 있습니다(상담전화 : 국번없이 132번)

다만, 현행 기준상 지원대상은 임금 및 퇴직금 체불 당시 최종 3월분의 월평균 임금이 400만원 미만인 자로 제한하고 있습니다.

참고로, 근로복지공단에서는 사업주의 임금체불로 인해 일시적인 생계곤란을 겪고 있는 가동 중인 임금체불사업장(휴업포함)의 재직 근로자에게 1,000만원 한도내에서 생계비를 융자하고 있으니, 궁금하신 사항은 1588-0075로 문의하시기 바랍니다."
퇴직금 중간정산 후 1년 미만 기간에 대한 퇴직금 지급여부,"근로자퇴직급여보장법 제8조제1항에 따라, 사용자는 계속근로년수 1년에 대하여 30일분이상의 평균임금을 퇴직금으로서 퇴직하는 근로자에게 지급할 수 있는 제도를 설정하여야 하며, 이때 계속근로년수라 함은 근로계약을 체결하여 고용된 날부터 해지될 때까지의 기간을 말합니다.

동법 제8조 및 동법 시행령 제3조에 따라 퇴직금 중간정산을 실시하여 중간정산 이후의 계속근로기간이 1년 미만이라 하더라도, 사용자는 동기간에 대한 퇴직금을 산정하여 근로자의 퇴직일로부터 14일 이내에 지급하여야 합니다."
